table_name,column_name,data_type,category,unique_count,unique_values_or_description
job_postings,uuid,STRING,id_reference,,Foreign key / primary key
job_postings,created_at,TIMESTAMP,timestamp,,Timestamp
job_postings,updated_at,TIMESTAMP,timestamp,,Timestamp
job_postings,key,STRING,id_reference,,Foreign key / primary key
job_postings,added_date,TIMESTAMP,timestamp,,Timestamp
job_postings,expiration_date,TIMESTAMP,timestamp,,Timestamp
job_postings,slug,STRING,free_text,4998473,4998473 unique values
job_postings,webflow_slug,STRING,free_text,4998473,4998473 unique values
job_postings,webflow_id,STRING,id_reference,,Foreign key / primary key
job_postings,app_link,STRING,free_text,,URL
job_postings,top_priority,BOOL,boolean,2,TRUE | FALSE
job_postings,expired,BOOL,boolean,2,TRUE | FALSE
job_postings,featured,BOOL,boolean,2,TRUE | FALSE
job_postings,weekly_hours,INT64,numeric,,Numeric (weekly_hours)
job_postings,pay_quantity,FLOAT64,numeric,,Compensation amount
job_postings,pay_unit,STRING,categorical,4,HOURLY | MONTHLY | WEEKLY | YEARLY
job_postings,last_checked_at,TIMESTAMP,timestamp,,Timestamp
job_postings,benefits_uuid,STRING,id_reference,,Foreign key / primary key
job_postings,role_uuid,STRING,id_reference,,Foreign key / primary key
job_postings,company_uuid,STRING,id_reference,,Foreign key / primary key
job_postings,job_source_uuid,STRING,id_reference,,Foreign key / primary key
job_postings,location_uuid,STRING,id_reference,,Foreign key / primary key
job_postings,primary_photo,STRING,free_text,,Image URL
job_postings,indexable,BOOL,boolean,2,TRUE | FALSE
job_postings,last_expiry_checked_at,TIMESTAMP,timestamp,,Timestamp
job_postings,last_job_indexed_at,TIMESTAMP,timestamp,,Timestamp
job_postings,last_search_indexed_at,TIMESTAMP,timestamp,,Timestamp
job_postings,prioritize_indexing,BOOL,boolean,2,TRUE | FALSE
job_postings,tip_percent,FLOAT64,numeric,,Numeric (tip_percent)
job_postings,email_template,STRING,numeric,,Latitude coordinate
job_postings,subject_template,STRING,numeric,,Latitude coordinate
job_postings,last_updated_at_external,TIMESTAMP,timestamp,,Timestamp
job_postings,direct_apply,BOOL,boolean,2,TRUE | FALSE
job_postings,needs_review,BOOL,boolean,2,TRUE | FALSE
job_postings,created_by_user_id,STRING,id_reference,,Foreign key / primary key
job_postings,sponsored,BOOL,boolean,2,TRUE | FALSE
job_postings,draft,BOOL,boolean,2,TRUE | FALSE
job_postings,summarization,STRING,empty,0,No non-null values
job_postings,tip_quantity,FLOAT64,numeric,,Numeric (tip_quantity)
job_postings,urgently_hiring,BOOL,boolean,2,TRUE | FALSE
