name,education_level
Accounting,Associate's Degree
Advertising,Associate's Degree
Aerospace Engineering,Associate's Degree
Agribusiness,Associate's Degree
Agronomy,Associate's Degree
American History,Associate's Degree
Anthropology,Associate's Degree
Applied Mathematics,Associate's Degree
Architecture,Associate's Degree
Art Education,Associate's Degree
Art History,Associate's Degree
Biochemistry,Associate's Degree
Biology,Associate's Degree
Biomedical Engineering,Associate's Degree
Biotechnology,Associate's Degree
Botany,Associate's Degree
Broadcast Journalism,Associate's Degree
Business Administration,Associate's Degree
Business Analytics,Associate's Degree
Chemical Engineering,Associate's Degree
Chemistry,Associate's Degree
Child Development,Associate's Degree
Civil Engineering,Associate's Degree
Communication Studies,Associate's Degree
Computer Engineering,Associate's Degree
Computer Information Systems,Associate's Degree
Computer Science,Associate's Degree
Construction Management,Associate's Degree
Criminal Justice,Associate's Degree
Criminology,Associate's Degree
Culinary Arts,Associate's Degree
Cybersecurity,Associate's Degree
Data Analytics,Associate's Degree
Data Science,Associate's Degree
Dental Hygiene,Associate's Degree
Design Studies,Associate's Degree
Digital Media,Associate's Degree
Ecology,Associate's Degree
Economics,Associate's Degree
Education Studies,Associate's Degree
Electrical Engineering,Associate's Degree
Engineering Physics,Associate's Degree
English,Associate's Degree
Entrepreneurship,Associate's Degree
Environmental Engineering,Associate's Degree
Environmental Science,Associate's Degree
Environmental Studies,Associate's Degree
Exercise Science,Associate's Degree
Fashion Design,Associate's Degree
Fashion Merchandising,Associate's Degree
Film and Media Studies,Associate's Degree
Finance,Associate's Degree
Fine Arts,Associate's Degree
Food Science,Associate's Degree
Forensic Science,Associate's Degree
Game Design,Associate's Degree
Geology,Associate's Degree
Global Studies,Associate's Degree
Graphic Design,Associate's Degree
Health Sciences,Associate's Degree
History,Associate's Degree
Horticulture,Associate's Degree
Hospitality Management,Associate's Degree
Human Development and Family Studies,Associate's Degree
Human Resources Management,Associate's Degree
Industrial Engineering,Associate's Degree
Information Systems,Associate's Degree
Information Technology,Associate's Degree
Interior Architecture,Associate's Degree
Interior Design,Associate's Degree
International Business,Associate's Degree
Journalism,Associate's Degree
Kinesiology,Associate's Degree
Landscape Architecture,Associate's Degree
Law,Associate's Degree
Logistics and Supply Chain Management,Associate's Degree
Management,Associate's Degree
Management Information Systems,Associate's Degree
Marketing,Associate's Degree
Mass Communication,Associate's Degree
Mathematics,Associate's Degree
Mechanical Engineering,Associate's Degree
Media Studies,Associate's Degree
Medical Laboratory Science,Associate's Degree
Music,Associate's Degree
Music Education,Associate's Degree
Music Performance,Associate's Degree
Nursing,Associate's Degree
Nutrition,Associate's Degree
Pharmacy,Associate's Degree
Philosophy,Associate's Degree
