segment_name,count
Nursing,19098
Clinical,6534
FY26_Field_Operations,5339
HTF_Quill,5104
Sysco_Transportation,4919
Senior Manager Trainees,4611
FY26_Direct_Sales_RCSS,4272
Corporate,3833
DHC_AlwaysOn_Drivers,3402
Financial_Consultant/Workplace_Planning_Consultant,2756
Pharmacists,2393
Phlebotomists | PCT,2348
Laurels_Nursing,2198
Allied Health,2068
Management and Professional,1977
Pharmacy_Technicians,1967
FY26_Retail_Sales,1949
Sysco_Sales,1921
Ciena_Nursing,1847
InformationSecurity/Technology_US,1651
HTF,1603
Full-Time_DeliveryDrivers,1589
Therapy | Priority,1473
Retail_Bank Teller,1303
Ciena_HTF,1264
New York,1256
Sysco_Warehouse,1177
Personal Wealth,1119
HTF_General,1107
SAAS/PAAS/Cloud_Consulting,1075
Sysco_Fleet Tech,1049
Maintenance_Cedar_Point,1031
Nursing_DCMC,953
Buckhead_Manufacturing,900
Registered Nurse | Priority,889
Software_Engineering_Nationwide,840
Service_US,826
Manufacturing_Production_US,772
Seasonal,751
Sysco_Manufacturing,749
Appointment Setter,740
Registered Nurse,713
Driver,704
DCM_AlwaysOn_Warehouse,688
Service and Clerical,680
Physician and Mid-Level Providers,675
Communications/Marketing_US,643
DistributionCenter,634
CustomerService_UnitedStates,614
Sysco_Corporate,613
Regional_VP_Sales,576
Seasonal_Cedar_Point,570
Healthcare Services,554
Retail_Branch_2026,526
FSR_Dallas,525
Health Plan Operations,515
FreshPoint_Transportation,503
Resorts_Cedar_Point,498
Therapy,491
Technician,490
Production_Sussex,483
IMS_RockwallHiringEvent,475
New_England,463
FSR_Omaha,462
Sysco_Supply Chain and Logistics,462
SEPA,458
LPN | HTF,456
Manager Trainees,450
FSR_Orlando,444
Supply Chain,444
FY26_Customer_Operations,439
Production and Operations,438
FSR_Austin 26,426
ManufacturingOperations_Medium,422
Retail,394
PortfolioManagment_US,390
Tech_UnitedStates,388
Imgaging,376
Insurance_Other,373
Insurance_Tampa,370
Sales_High,363
Merchandising,357
Imaging_Allied_Health,354
TOH_Product_Managers,351
FSR_Indianapolis,342
NursePractitioner,341
Production_Hartford,330
nova_Charlottesville,325
Corporate | HTF,324
Pennsylvania,321
Guest_Sales,321
Ciena_FacilitySupport,318
Insurance_San-Antonio,313
Field_Retail_Sales,313
Auto_HTF,313
Retail_Branch_2024/2025,308
InvestmentCounselor_US,307
FSR_Phoenix,306
FY26_Spectrum_Reach,303
Seasonal_Carowinds,300
Medical Assistant,300
FreshPoint_Sales,287
Maintenance_Carowinds,285
FoodBeverage_Carowinds,285
Data_Science_Consulting,283
Print_Supervisors,282
Buckhead_Corporate,278
FreshPoint_Warehouse,277
Insurance_Phoenix,272
Maintenance_and_Manufacturing,265
Furniture_Sales,257
Delivery Drivers_High,255
Tysons Corner,250
Retail/Sales,244
Production_Franklin,244
Nursing | HTF,242
Maryland,237
Automotive_Driver,230
Operations_Carowinds,230
FSR - HTF_2024/2025,229
Full-Time_CustomerAccountAdvisor,227
FoodBeverage_Cedar_Point,221
Respiratory_Therapist,220
CarWash,218
FY26_Call_Center_Sales,218
Resorts_Carowinds,215
FreshPoint_Manufacturing,214
Edward Don_Sales,212
Production_Chalfont,212
Laurels_HTF,211
Administration_Cedar_Point,205
SecuritySafety_Carowinds,205
FP_Wealth Advisor,204
New Jersey,204
Wealth,201
Finance_UnitedStates,195
Technician HTF,195
NOVA,193
Healthcare_Physician,193
Teller_New_Hampshire,193
BusinessStrategy_UnitedStates,192
Warehouse_High,192
EMT/Paramedic,191
Transportation,183
Production_USA,182
ACC_Instruction and Assessment,181
Wealth Solutions,180
DHC_AlwaysOn_Drivers_HTF,178
Professional,177
Ciena_Professional,177
Radiology,173
HTF_Warehouse,170
Field_Small&MediumBusinessDirectSales,164
Sales,163
Priority_US,161
Insurance_Colorado-Springs,160
Cafe_Ambassador_Boston,160
Sales _US,156
Virgina,155
Operations_US,153
Seasonal_Kings_Dominion,152
Financial Planning_2026,152
Fleet Mechanic,150
GamesMerch_Cedar_Point,148
EMT/Paramedic | HTF,147
Finance_US,146
Software_Engineering_CA,145
Paragon_Transportation,142
Rides_Carowinds,140
Nursing and Nursing Support,140
Store_Managers,136
Delivery Drivers_Low,135
WCU_Instruction and Assessment,134
Full-Time_SalesAssociate,132
Engineering,131
Nursing_Support_Clinical,129
SecuritySafety_Six Flags New England,129
Production_Pewaukee,128
Driving/Transportation,128
Culinary,126
"Melbourne, FL Hiring Event Reqs",126
"Melbourne, FL Hiring Event",126
TOH_Finance,124
IT,124
"FoodBeverage_Six Flags Great Adventure, Hurricane Harbor & Wild Safari Adventure",124
Greco_Warehouse,122
TOH_Risk,122
TOH_CatchAll,121
Aquatics_Cedar_Point,121
TOH_Data_Science,121
Buckhead_Sales,120
North Carolina,117
GamesMerch_Carowinds,115
Greco_Sales,114
Healthcare_Imaging_Radiology,114
CorporateSupport_Supply_Chain,112
Operations,112
SecuritySafety_Cedar_Point,110
FY26_Spectrum_Business,108
Engineering/Technology,107
KYACD Feeder Driver,106
Aquatics_Carowinds,105
Financial Planning_2024/2025,105
Tech_Consulting,104
Nursing_CVICU,104
Business_Professional,103
Center Leadership,103
Texas_Pilot,102
Admissions_Cedar_Point,100
Sales_US_All,98
Non-Union HTF,98
Nursing_General_Clinical,96
Rise,96
PharmTech_UnitedStates,96
SecuritySafety_Kings_Dominion,95
Sales/Business Development,95
Laurels_FacilitySupport,93
IMS_RichardsonHiringEvent,93
Buckhead_Warehouse,90
Ithaca,89
CS_Dallas,89
Operations_Cedar_Point,88
Certified Electrician,88
Manufacturing_NY,88
Warehouse,86
CustomerServiceRep_12B,86
TOH_Business_Data_Analysts,86
Certified Field Tech,85
Core_US,85
Motion Sales & Field,83
King_of_Prussia,83
Participant Services,82
Assistant_Store_Managers,82
Production_Lomira,81
HTF2025,81
Field_Enterprise_Direct_Sales,80
FoodBeverage_Six Flags Great Escape,79
Maintenance_Worlds_of_Fun,78
PandP WandP,78
SecuritySafety_Six Flags Great America & Hurricane Harbor,76
Ballantyne,74
SecuritySafety_Six Flags Over Georgia,73
AI_San_Francisco,73
Mental Health,73
ACC_High Priority,73
Maintenance_Six Flags Great America & Hurricane Harbor,72
Greco_Manufacturing,72
El Segundo Hiring Event Reqs,71
SecuritySafety_Worlds_of_Fun,70
Cafe_Ambassador_Seattle,69
Greco_Transportation,69
CS_Austin,67
Pottsville_RSC,66
Maintenance_Six Flags Discovery Kingdom,65
Laurels_Professional,64
TOH_Commercial_Business,64
Cafe_Ambassador_NewYork,64
Systems & Solutions Architect,63
Mechanics_US,63
Seasonal_Worlds_of_Fun,63
Maintenance_Kings_Dominion,63
Edward Don_Supply Chain and Logistics,62
Paragon_Manufacturing,62
Maintenance,62
Operations_Six Flags New England,62
IMS_WacoHiringEvent,60
TOH_Design,60
ACC_Tier 3,60
Corporate HTF,60
Entertainment_Six Flags Great America & Hurricane Harbor,59
Aquatics_Six Flags New England,58
Custodial & Janitorial_Six Flags New England,58
CustomerServiceRep_12A,58
SecuritySafety_Six Flags White Water,58
School Health,57
Compliance and Risk,55
New Center,54
FoodBeverage_Knott's_Berry_Farm,54
Manufacturing,54
CS_Phoenix,53
Superintendent Roles,53
"SecuritySafety_Six Flags Great Adventure, Hurricane Harbor & Wild Safari Adventure",53
Edward Don_Corporate,53
Rides_Cedar_Point,53
FreshPoint_Supply Chain and Logistics,53
Healthcare_UnitedStates,52
Allied Health Priority,52
CustomerServiceRep_12F,52
Resorts_Six Flags Great Escape,52
CustomerServiceRep_11J,51
Coastal_Sales,51
Home Health,51
Respiratory,50
Engineering_US,50
ManufacturingEngineering_Medium,50
Technology_Other,49
HTF_Cedar_Point,49
Buckhead_Transportation,49
GamesMerch_Six Flags New England,48
New_Grad_Nursing,48
Production_West_Allis,48
FoodBeverage_Six Flags Great America & Hurricane Harbor,48
CorporateSupport_Finance,48
X-Ray,48
CS_Orlando,47
Coastal_Transportation,46
Management_11J,46
Admissions_Carowinds,45
Therapy_CHV,45
FSR - HTF_2026,45
General_HotJobs,45
CustomerServiceRep_11D,43
"Operations_Six Flags Great Adventure, Hurricane Harbor & Wild Safari Adventure",43
HumanCapital_US,43
HR,42
FoodBeverage_Worlds_of_Fun,42
"Resorts_Six Flags Great Adventure, Hurricane Harbor & Wild Safari Adventure",41
Business_Management,41
Cafe_Ambassador_Des_Peres,41
HTF_Carowinds,40
Nursing_Management,40
Maintenance_Six Flags New England,39
Accounting_US,39
WCU_High Priority,38
CustomerServiceRep_11E,38
CB2_Store_Management,38
FoodBeverage_Kings_Dominion,38
Pallisades Ranch_Manufacturing,37
Custodial & Janitorial_Six Flags White Water,37
CS_Indianapolis,36
Newport Meat_Manufacturing,36
InvestmentCounselor_CFA,36
Relationship Manager,35
Maintenance_Six Flags Great Escape,35
SecuritySafety_Six Flags Fiesta Texas,35
Sales_Nationwide,35
Sales_VA,35
Business_IT,34
FoodBeverage_Six Flags New England,34
Customer-Service_San-Antonio,34
Wilmington MA Hiring Event Reqs,34
East Coast Fresh_Manufacturing,34
CustomerServiceRep_11I,34
CorporateSupport_Procurement,33
CustomerServiceRep_11H,33
Operations_Six Flags Fiesta Texas,33
CS_Denver,33
FreshPoint_Corporate,33
Field_Service_US,32
Healthcare_Rehab,32
"Admissions_Six Flags Great Adventure, Hurricane Harbor & Wild Safari Adventure",32
El Segundo Hiring Event,32
Sales_Marketing_US,32
HTF_2026,31
GamesMerch_Six Flags White Water,31
SecuritySafety_Six Flags St. Louis,31
Software_Engineering_MA,31
CorporateSupport_HR,31
GamesMerch_Six Flags Great America & Hurricane Harbor,31
Teller_Vermont,31
Teller_Cape Cod,31
Aquatics_Six Flags Great Escape,31
Hybrid_Pharmacists,30
Tech_UnitedStates_HTF,30
"Aquatics_Six Flags Great Adventure, Hurricane Harbor & Wild Safari Adventure",30
Aquatics_Six Flags Fiesta Texas,29
Operations_Kings_Dominion,29
CorporateSupport_Marketing,29
Maintenance_Dorney_Park,29
Admissions_Six Flags White Water,29
Maintenance_Knott's_Berry_Farm,29
Admissions_Six Flags New England,29
Paragon_Sales,29
NursePractitioner_WA,28
Hot Food Make and Pack,28
Cyber_UnitedStates,28
Nursing_Emergency,28
GamesMerch_Kings_Dominion,28
3_92 - South California Warehouse Worker,28
Edward Don_Transportation,27
Sales Media Plan,27
FoodBeverage_Six Flags Over Georgia,27
Rides_Six Flags Over Georgia,27
Maintenance_Six Flags Fiesta Texas,27
US_Manufacturing,27
Tech Project/Program Management,27
Rides_Six Flags New England,26
GamesMerch_Worlds_of_Fun,26
Finance,26
Administrative,26
Management_11I,26
Banking_San-Antonio,25
Admissions_Six Flags St. Louis,25
Client Service_2024/2025,25
Rides_Worlds_of_Fun,25
Custodial & Janitorial_Six Flags St. Louis,25
Surgery,25
Admissions_Worlds_of_Fun,25
Maintenance_California's_Great_America,25
Operations_Six Flags Great America & Hurricane Harbor,25
Electricians_US,24
Rides_Six Flags Great America & Hurricane Harbor,24
CustomerServiceRep_11F,23
CustodialJanitorial_Six Flags Great America & Hurricane Harbor,23
Manufacturing_SC,23
Management_11G,23
Rides_Kings_Dominion,23
"GamesMerch_Six Flags Great Adventure, Hurricane Harbor & Wild Safari Adventure",23
Resorts_Knott's_Berry_Farm,23
Custodial & Janitorial_Six Flags Over Georgia,22
VP_of_Financial_Sales,22
Rides_Six Flags St. Louis,22
Resorts_Worlds_of_Fun,22
FoodBeverage_Schlitterbahn_New_Braunfels,22
"Maintenance_Six Flags Great Adventure, Hurricane Harbor & Wild Safari Adventure",21
RPAs,21
Entertainment_Six Flags New England,21
Marketing,21
GamesMerch_Six Flags St. Louis,21
FoodBeverage_Six Flags White Water,21
GamesMerch_Six Flags Fiesta Texas,20
Cafe_Ambassador_FortLauderdale,20
Administration_Carowinds,20
LegalAffairs_US,20
Entertainment_Six Flags Over Texas & Hurricane Harbor Arlington,20
FoodBeverage_Six Flags Fiesta Texas,20
Aquatics_Six Flags Hurricane Harbor Phoenix,20
CustomerServiceRep_11G,19
Operations_Worlds_of_Fun,19
WCU_Tier 3,19
Greco_Corporate,19
Aquatics_Six Flags Great America & Hurricane Harbor,19
Cafe_Ambassador_Woodlands,19
Healthcare_Research,19
CS_Omaha,19
"Mt Laurel, NJ Hiring Event Reqs",18
Aquatics_Six Flags St. Louis,18
CustomerServiceRep_12C,18
CustomerServiceRep_12I,18
CustomerServiceRep_11B,18
FoodBeverage_Six Flags St. Louis,18
Healthcare_Psychiatry,18
Edward Don_Manufacturing,18
CorporateSupport_Legal,18
Management_11D,18
SecuritySafety_Six Flags Discovery Kingdom,18
Corporate Affairs,17
FoodBeverage_Six Flags Discovery Kingdom,17
"CustodialJanitorial_Six Flags Great Adventure, Hurricane Harbor & Wild Safari Adventure",17
Management_11E,17
Nursing_HTF,17
HTF_Schlitterbahn_New_Braunfels,17
Cafe_Ambassador_SanFrancisco,17
GamesMerch_Six Flags Over Georgia,17
Maintenance_Six Flags White Water,17
FreshPoint_Fleet Tech,17
CST,17
CustomerServiceRep_11A,17
Aquatics_Kings_Dominion,16
Custodial&Janitorial_Six Flags Over Texas & Hurricane Harbor Arlington,16
Customer-Service_Phoenix,16
Cafe_Coach,16
Next Door - Pittsford,16
Newport Meat_Corporate,16
Cafe_Ambassador_Plano,15
Finance_Other,15
Maintenance_Kings_Island,15
Admissions_Six Flags Over Georgia,15
"HTF_Six Flags Great Adventure, Hurricane Harbor & Wild Safari Adventure",15
CustomerServiceRep_11C,15
Insurance_Chesapeake,15
Newport Meat_Warehouse,15
CustomerServiceRep_12J,15
Maintenance_Six Flags St. Louis,14
HTF_Six Flags St. Louis,14
Edward Don_Warehouse,14
GamesMerch_Knott's_Berry_Farm,14
Administration_Six Flags Over Georgia,14
Operations_Six Flags Discovery Kingdom,14
US_Engineering,14
Resorts_Kings_Dominion,14
Paragon_Warehouse,14
Coastal_Warehouse,14
